,Unnamed: 0,Unnamed: 0.1,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,0,3550644,80,39470,6,4503818,4,4,935.0,356.0,935.0,0.0,233.75,467.50000000000006,356.0,0.0,89.0,178.0,643402.5714285715,1668996.2471269828,4427817.0,6.0,75994.0,25331.333333333336,42465.724971243966,74358.0,26.0,4502176.0,1500725.3333333337,2535204.7996349987,4427817.0,245.0,0,0,0,0,136,136,0.8881353553807014,0.8881353553807014,0.0,935.0,143.44444444444446,319.3302017939703,101971.77777777775,0,0,0,0,1,0,0,0,1.0,161.375,233.75,89.0,0,0,0,0,0,0,4,935,4,356,-1,211,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,1,7081132,52464,443,6,117375002,16,15,1151.0,7363.0,517.0,0.0,71.9375,136.4089287155842,1430.0,0.0,490.8666666666666,619.5385225733593,3912500.066666667,14798862.439818935,58599362.0,0.0,117375002.0,7825000.133333333,20534223.741575927,58694838.0,39.0,117234556.0,8373896.857142857,21224483.69659338,58695094.0,0.0,0,0,0,0,332,312,0.136315226644256,0.12779552497899002,0.0,1430.0,266.0625,478.0504047860738,228532.1895161289,0,0,0,1,0,0,0,0,0.0,274.64516129032256,71.9375,490.86666666666673,0,0,0,0,0,0,16,1151,15,7363,8192,180,8,20,263931.5,174723.96431085235,387480.0,140383.0,58353377.5,347874.6160335646,58599362.0,58107393.0,0
2,2,3415236,80,56052,6,4444931,4,4,935.0,369.0,935.0,0.0,233.75,467.50000000000006,369.0,0.0,92.25,184.5,634990.1428571428,1640111.409620642,4354252.0,5.0,90671.0,30223.666666666664,28208.3854435757,55907.0,33.0,4410162.0,1470054.0,2497788.811299306,4354252.0,27348.0,0,0,0,0,136,136,0.8999014832851173,0.8999014832851173,0.0,935.0,144.88888888888889,320.4393251633,102681.36111111114,0,0,0,0,1,0,0,0,1.0,163.0,233.75,92.25,0,0,0,0,0,0,4,935,4,369,-1,211,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,3,3179994,80,49846,6,4727750,4,4,935.0,351.0,935.0,0.0,233.75,467.50000000000006,351.0,0.0,87.75,175.5,675392.8571428572,1731505.2973736876,4601439.0,6.0,126305.0,42101.66666666667,40207.40780420112,80168.0,50.0,4681606.0,1560535.3333333337,2633801.108510726,4601439.0,247.0,0,0,0,0,136,136,0.8460684257839353,0.8460684257839353,0.0,935.0,142.88888888888889,318.91826713299304,101708.86111111114,0,0,0,0,1,0,0,0,1.0,160.75,233.75,87.75,0,0,0,0,0,0,4,935,4,351,-1,211,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,4,3588528,80,60692,6,4343222,4,4,935.0,352.0,935.0,0.0,233.75,467.50000000000006,352.0,0.0,88.0,176.0,620460.2857142857,1606078.545337236,4262107.0,6.0,81108.0,27036.0,45101.19240108847,79102.0,20.0,4341210.0,1447070.0,2438205.0605371566,4262107.0,578.0,0,0,0,0,136,136,0.9209752575392186,0.9209752575392186,0.0,935.0,143.0,319.0,101761.0,0,0,0,0,1,0,0,0,1.0,160.875,233.75,88.0,0,0,0,0,0,0,4,935,4,352,-1,211,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,5,3564600,80,50476,6,4292668,4,4,935.0,369.0,935.0,0.0,233.75,467.50000000000006,369.0,0.0,92.25,184.5,613238.2857142857,1593623.729709088,4227125.0,6.0,65537.0,21845.666666666664,23794.301866903625,47215.0,25.0,4274340.0,1424780.0,2426923.917002962,4227125.0,13284.0,0,0,0,0,136,136,0.9318214220153992,0.9318214220153992,0.0,935.0,144.88888888888889,320.4393251633,102681.36111111114,0,0,0,0,1,0,0,0,1.0,163.0,233.75,92.25,0,0,0,0,0,0,4,935,4,369,-1,211,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,6,3290558,54137,445,6,223889,5,4,373.0,172.0,140.0,0.0,74.6,70.2837107728384,133.0,0.0,43.0,62.75348595894893,27986.125,38532.958098740426,74676.0,40.0,223821.0,55955.25,37276.944128822215,74720.0,40.0,223830.0,74610.0,163.0,74797.0,74498.0,0,0,0,0,112,92,22.332495120349808,17.865996096279854,0.0,140.0,54.5,64.19804427619964,4121.38888888889,0,0,0,1,0,0,0,0,0.0,60.55555555555557,74.6,43.0,0,0,0,0,0,0,5,373,4,172,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,7,7672168,3389,23423,6,85265561,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85265561.0,0.0,85265561.0,85265561.0,85265561.0,85265561.0,0.0,85265561.0,85265561.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.02345612902259565,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,64000,-1,0,20,0.0,0.0,0.0,0.0,85265561.0,0.0,85265561.0,85265561.0,0
8,8,3264930,50062,53,17,1162,1,1,47.0,103.0,47.0,47.0,47.0,0.0,103.0,103.0,103.0,0.0,1162.0,0.0,1162.0,1162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,860.5851979345955,860.5851979345955,47.0,103.0,65.66666666666667,32.331615074619044,1045.3333333333335,0,0,0,0,0,0,0,0,1.0,98.5,47.0,103.0,0,0,0,0,0,0,1,47,1,103,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,9,3391453,80,44180,6,62742044,4,5,935.0,345.0,935.0,0.0,233.75,467.50000000000006,345.0,0.0,69.0,154.2886904474855,7842755.499999999,22113687.28800861,62571248.0,6.0,170505.0,56835.0,54477.68740502849,108700.0,75.0,62633263.0,15658315.75,31275301.46279922,62571248.0,276.0,0,0,0,0,136,168,0.06375310310260214,0.07969137887825267,0.0,935.0,128.0,303.5731652611388,92156.66666666669,1,0,0,0,1,0,0,0,1.0,142.22222222222226,233.75,69.0,0,0,0,0,0,0,4,935,5,345,-1,211,1,0,283.0,0.0,283.0,283.0,62571248.0,0.0,62571248.0,62571248.0,1
